age,height,sex,days_to_goal,activity_level,experience,Exercise
23,179,male,119,5,1,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
28,150,male,137,2,3,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
18,164,female,122,3,4,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
28,170,male,63,4,1,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
55,178,female,87,3,5,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
31,153,female,55,3,3,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
46,177,male,124,1,2,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
46,153,female,145,5,4,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
38,175,male,41,1,5,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
45,161,male,166,2,4,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
24,175,female,37,1,5,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
57,174,male,157,1,5,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
59,169,male,38,4,3,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
41,158,female,171,3,4,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
28,150,male,115,3,3,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
33,188,female,41,1,5,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
25,189,female,177,3,2,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
53,166,male,153,2,4,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
42,188,female,91,3,2,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
46,186,female,83,2,3,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
54,178,male,151,2,5,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
33,166,female,88,2,1,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
21,162,male,73,1,4,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
46,159,male,76,5,5,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
46,178,male,172,4,5,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
19,171,male,33,5,2,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
45,157,male,155,1,3,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
52,169,male,103,3,3,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
34,182,male,151,3,4,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
22,157,female,113,2,5,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
28,163,male,56,5,1,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
48,154,male,62,3,4,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
31,163,male,78,4,2,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
27,160,female,128,3,5,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
28,185,male,178,3,2,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
35,165,female,172,2,4,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
31,180,male,56,3,3,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
23,153,male,33,2,1,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
44,164,male,99,2,5,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
46,173,female,86,2,1,"Lunges, Leg Press, Rows, Bench Press, 3 sets (10-8-6 reps)"
32,161,female,121,5,1,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
54,186,female,71,5,4,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
34,189,female,130,1,5,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
40,173,female,88,1,2,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
29,167,female,98,5,5,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
53,173,male,171,4,2,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
56,171,male,70,1,2,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
54,159,male,31,3,1,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
40,166,male,149,5,3,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
26,186,male,105,4,2,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
48,170,male,101,3,3,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
55,150,male,126,2,4,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
50,165,female,84,4,1,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
25,165,female,102,3,2,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
54,158,female,36,2,1,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
42,169,female,80,2,2,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
45,189,female,121,4,5,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
40,177,male,110,2,4,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
37,176,female,149,2,4,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
50,178,male,50,3,5,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
58,171,female,177,1,4,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
53,165,male,79,3,1,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
28,164,male,167,1,2,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
45,157,male,66,1,3,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
22,169,female,174,3,2,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
47,159,female,57,2,1,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
47,184,female,83,1,2,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
50,151,female,110,4,2,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
27,189,male,145,4,4,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
34,172,male,75,5,3,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
58,175,female,77,1,5,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
32,168,female,115,5,5,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
21,160,female,95,2,5,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
55,156,female,39,4,5,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
30,157,male,132,2,3,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
52,175,male,138,3,5,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
54,165,male,132,2,2,"Chest Flyes, Russian Twists, Leg Press, 4 sets (12-10-8-6 reps)"
25,151,female,43,1,1,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
56,180,male,87,2,3,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
41,182,male,160,1,4,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
32,170,female,162,3,1,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
59,179,male,111,3,5,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
19,173,female,97,1,2,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
43,158,female,40,5,1,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
49,171,male,93,3,1,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
49,175,male,178,5,5,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
41,160,male,166,5,5,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
51,167,male,64,1,2,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
37,171,male,55,1,2,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
50,184,male,134,5,4,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
42,167,female,67,2,5,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
49,152,male,52,1,5,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
36,153,male,145,1,3,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
50,189,female,170,1,4,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
37,152,female,170,5,2,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
30,162,female,130,1,5,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
52,187,female,120,1,4,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
53,151,male,137,4,1,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
58,161,female,122,4,1,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
48,167,male,50,5,4,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
33,182,female,100,5,4,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
49,169,female,48,3,1,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
54,156,male,52,3,4,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
53,166,female,61,5,4,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
43,168,male,65,2,5,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
23,179,male,45,5,4,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
33,163,female,36,4,3,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
22,187,male,146,1,2,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
29,164,male,162,2,5,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
56,158,male,83,1,5,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
27,168,female,76,3,5,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
48,168,male,79,1,2,"Rows, Pull-Ups, Planks, 3 sets (10-8-6 reps)"
38,176,male,154,3,2,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
31,150,male,136,1,5,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
32,183,male,42,3,4,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
26,189,female,179,1,3,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
54,181,female,30,2,1,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
54,172,female,90,4,4,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
49,158,female,45,1,3,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
50,189,male,91,3,3,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
19,188,female,64,2,4,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
21,178,male,98,3,3,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
36,176,female,80,2,1,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
19,184,female,56,2,2,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
24,170,male,40,1,4,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
55,167,female,137,3,5,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
22,172,male,116,3,5,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
46,156,male,176,4,4,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
38,167,male,80,1,4,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
41,175,female,146,5,5,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
26,151,male,74,1,2,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
49,155,male,155,2,4,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
51,158,female,33,3,1,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
18,155,male,156,4,4,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
50,162,female,128,5,5,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
41,168,male,138,4,1,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
22,161,male,86,2,1,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
38,156,male,37,4,5,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
24,169,male,112,5,4,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
56,164,female,153,1,3,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
20,167,male,63,3,1,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
58,166,female,56,5,4,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
42,152,female,42,5,3,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
40,157,female,59,3,2,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
51,183,male,53,4,3,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
40,169,male,94,4,1,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
53,178,male,79,5,1,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
36,183,male,97,3,2,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
20,154,male,127,1,5,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
47,187,male,117,1,4,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
27,184,female,177,1,3,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
37,151,male,46,1,2,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
54,152,female,145,1,3,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
25,174,female,85,3,1,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
42,177,male,52,3,3,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
50,188,male,140,4,5,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
19,173,male,115,5,4,"Seated Rows, Leg Extensions, Chest Flyes, Side Planks, 4 sets (12-10-8-6 reps)"
36,185,female,57,2,2,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
38,177,female,41,1,3,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
23,159,male,166,2,4,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
39,150,male,45,1,4,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
32,157,female,75,5,4,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
28,187,female,74,4,4,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
20,172,male,176,4,1,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
20,155,male,50,2,4,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
57,177,female,105,4,1,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
52,168,male,64,5,3,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
37,158,male,78,5,3,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
19,183,male,117,3,5,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
50,165,female,80,1,5,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
45,156,female,37,2,3,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
35,173,male,147,3,1,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
56,161,male,177,1,2,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
18,154,female,104,1,4,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
47,174,male,138,3,4,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
36,175,female,80,4,2,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
43,181,male,169,5,5,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
26,176,female,99,2,1,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
37,153,female,67,1,3,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
29,184,female,48,5,4,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
46,176,female,104,5,2,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
27,179,male,37,3,3,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
20,165,female,57,4,3,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
18,161,female,159,4,4,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
45,181,female,116,5,1,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
22,177,male,178,5,5,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
31,179,male,78,3,1,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
51,186,male,73,4,3,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
43,159,male,85,5,3,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
52,186,male,74,2,1,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
19,158,male,131,4,1,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
20,178,female,143,4,1,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
45,161,female,151,3,5,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
43,150,female,137,4,5,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
23,181,male,96,4,5,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
19,184,male,142,3,1,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
22,154,female,116,1,2,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
36,163,male,69,3,3,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
50,156,male,151,4,2,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
56,169,male,53,2,1,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
40,185,female,55,3,5,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
41,154,female,160,1,1,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
29,189,female,37,1,2,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
44,182,male,101,1,3,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
19,158,female,61,4,1,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
